 "x_c",  "y_c",  "u_c",  "v_c",  "x",  "y",  "u",  "v",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "Xp",  "Yp"
5.27459,41.8044,-0.210971,1.10207,1145,65,-4.83975,-25.2816,-0.00169868,0.00585073,0.00184058,0.00627557,-0.00212351,1.34395,0.00892681,5.06362,42.9065
5.53614,41.8044,-0.211397,1.10402,1151,65,-4.84945,-25.3265,-0.00176596,0.00566536,0.00171917,0.00604381,-0.00214441,1.35412,0.00844482,5.32474,42.9084
5.79769,41.8044,-0.211817,1.10545,1157,65,-4.8591,-25.3593,-0.00183722,0.00552791,0.00153799,0.00583617,-0.00214548,1.37299,0.00807863,5.58587,42.9098
6.05924,41.8044,-0.211775,1.1072,1163,65,-4.85818,-25.3994,-0.00190934,0.00544868,0.00135905,0.00569168,-0.00215234,1.39387,0.00853991,5.84746,42.9116
6.32079,41.8044,-0.211349,1.10918,1169,65,-4.84835,-25.4448,-0.00197792,0.00541922,0.00123839,0.00562103,-0.00217974,1.40925,0.00928105,6.10944,42.9136
6.58234,41.8044,-0.211823,1.11128,1175,65,-4.85929,-25.493,-0.00204595,0.00543551,0.00117155,0.00561468,-0.00222512,1.41904,0.00971739,6.37051,42.9157
6.84389,41.8044,-0.213025,1.11389,1181,65,-4.88689,-25.5528,-0.00211929,0.0055148,0.00112874,0.00567819,-0.00228268,1.42704,0.00984932,6.63086,42.9183
7.10544,41.8044,-0.214819,1.11698,1187,65,-4.92795,-25.6238,-0.00221504,0.00563966,0.00112064,0.00579641,-0.00237179,1.43182,0.00946231,6.89062,42.9214
7.36699,41.8044,-0.21583,1.11999,1193,65,-4.9512,-25.6927,-0.00230311,0.00578484,0.00114588,0.00594405,-0.00246233,1.43274,0.0086856,7.15116,42.9244
7.62854,41.8044,-0.216639,1.12157,1199,65,-4.96973,-25.7291,-0.00234528,0.00593946,0.00119117,0.00610733,-0.00251314,1.4308,0.00772477,7.4119,42.926
7.89009,41.8044,-0.217192,1.12319,1205,65,-4.98242,-25.7663,-0.00237356,0.00611921,0.00122967,0.00629367,-0.00254802,1.42986,0.00718228,7.67289,42.9276
8.15164,41.8044,-0.217219,1.12564,1211,65,-4.98301,-25.8224,-0.00243063,0.00632428,0.00124951,0.00649912,-0.00260547,1.43177,0.00755869,7.93442,42.93
8.41319,41.8044,-0.217048,1.12851,1217,65,-4.97918,-25.8882,-0.00250901,0.00654148,0.00127513,0.0067177,-0.00268523,1.43347,0.00856102,8.19614,42.9329
8.67474,41.8044,-0.217559,1.13153,1223,65,-4.9909,-25.9576,-0.00255206,0.00675472,0.00128713,0.00692945,-0.00272679,1.43587,0.00971469,8.45718,42.9359
