"Average",,,,,,,,,,,"R0",,,,,,,,,,"Analog",,
"Index [1]","X [mm]","Y [mm]","U [mm]","V [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","X [mm]","Y [mm]","U [mm]","V [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","Time_0","deplacement_(mm)","Charge_(KN)"
77,-3.33674,-0.789118,0.0243213,0.511591,-0.000813394,0.00302207,0.000282,0.00307164,-0.000862961,0.880888,-2.96421,0.0873111,0.0441273,0.510902,-0.000809426,0.00322648,0.000345984,0.00327731,-0.000860269,1.10448,127.257,1.3327,5.343
78,-3.33674,-0.789118,0.0222985,0.523549,-0.000836676,0.00308059,0.000286148,0.00313119,-0.000887271,0.875385,-2.96421,0.0873111,0.0421638,0.522864,-0.000831434,0.00328329,0.000349675,0.00333476,-0.000882911,1.10343,128.029,1.3578,5.4493
79,-3.33674,-0.789118,0.0189675,0.536796,-0.000852761,0.00314486,0.000291026,0.00319621,-0.000904129,0.877801,-2.96421,0.0873111,0.0388742,0.536116,-0.000847445,0.00334742,0.000355716,0.00339965,-0.000899663,1.10424,128.836,1.3839,5.5479
80,-3.33674,-0.789118,0.0159271,0.550501,-0.000877356,0.00321386,0.00029484,0.00326613,-0.00092962,0.867773,-2.96421,0.0873111,0.0358699,0.549815,-0.000871084,0.003414,0.000361022,0.00346726,-0.000924344,1.09842,129.723,1.4145,5.6812
81,-3.33674,-0.789118,0.0128268,0.563938,-0.00089363,0.00327755,0.000300477,0.00333098,-0.00094708,0.859542,-2.96421,0.0873111,0.0328203,0.563268,-0.000891831,0.00347635,0.000365874,0.00353071,-0.00094619,1.07567,130.564,1.4425,5.7933
82,-3.33674,-0.789118,0.00994845,0.575914,-0.000913481,0.00333602,0.000302225,0.00338947,-0.000966932,0.856004,-2.96421,0.0873111,0.0299671,0.575247,-0.000907268,0.00353581,0.000367142,0.00359,-0.000961464,1.09675,131.294,1.467,5.8957
83,-3.33674,-0.789118,0.00648266,0.592148,-0.000939504,0.0034192,0.000308341,0.003474,-0.0009943,0.8325,-2.96421,0.0873111,0.0265852,0.591579,-0.000936619,0.00362032,0.00037207,0.0036756,-0.000991897,1.0508,132.297,1.4995,6.0397
84,-3.33674,-0.789118,0.00325903,0.606686,-0.000965951,0.00348778,0.000314433,0.00354363,-0.00102179,0.844976,-2.96421,0.0873111,0.023382,0.606037,-0.000962953,0.00368407,0.000377359,0.0037402,-0.0010191,1.05093,133.211,1.5295,6.1556
85,-3.33674,-0.789118,0.000198893,0.623464,-0.000991959,0.00356778,0.000322188,0.00362543,-0.00104961,0.828335,-2.96421,0.0873111,0.020369,0.622784,-0.00099113,0.00376639,0.000384637,0.0038242,-0.00104894,1.04095,134.246,1.5656,6.2967
86,-3.33674,-0.789118,-0.0028502,0.63773,-0.00101858,0.00363988,0.000325726,0.00369801,-0.0010767,0.822301,-2.96421,0.0873111,0.017366,0.637101,-0.00101801,0.00383839,0.000388059,0.00389603,-0.00107566,1.04368,135.176,1.5952,6.4233
